Date,Borough,Check Row,Open Backlog EOP,EOP PHONE
2024-01-31,BRONX,1,,
2024-01-31,BROOKLYN,1,,
2024-01-31,MANHATTAN,1,,
2024-01-31,QUEENS,1,,
2024-01-31,STATEN ISLAND,1,,
2024-01-31,UNKNOWN,1,,
2024-02-29,BRONX,1,,
2024-02-29,BROOKLYN,1,,
2024-02-29,MANHATTAN,1,,
2024-02-29,QUEENS,1,,
2024-02-29,STATEN ISLAND,1,,
2024-02-29,UNKNOWN,1,,
2024-03-31,BRONX,1,,
2024-03-31,BROOKLYN,1,,
2024-03-31,MANHATTAN,1,,
2024-03-31,QUEENS,1,,
2024-03-31,STATEN ISLAND,1,,
2024-03-31,UNKNOWN,1,,
2024-04-30,BRONX,1,,
2024-04-30,BROOKLYN,1,,
2024-04-30,MANHATTAN,1,,
2024-04-30,QUEENS,1,,
2024-04-30,STATEN ISLAND,1,,
2024-04-30,UNKNOWN,1,,
2024-05-31,BRONX,1,,
2024-05-31,BROOKLYN,1,,
2024-05-31,MANHATTAN,1,,
2024-05-31,QUEENS,1,,
2024-05-31,STATEN ISLAND,1,,
2024-05-31,UNKNOWN,1,,
2024-06-30,BRONX,1,,
2024-06-30,BROOKLYN,1,,
2024-06-30,MANHATTAN,1,,
2024-06-30,QUEENS,1,,
2024-06-30,STATEN ISLAND,1,,
2024-06-30,UNKNOWN,1,,
2024-07-31,BRONX,1,,
2024-07-31,BROOKLYN,1,,
2024-07-31,MANHATTAN,1,,
2024-07-31,QUEENS,1,,
2024-07-31,STATEN ISLAND,1,,
2024-07-31,UNKNOWN,1,,
2024-08-31,BRONX,1,,
2024-08-31,BROOKLYN,1,,
2024-08-31,MANHATTAN,1,,
2024-08-31,QUEENS,1,,
2024-08-31,STATEN ISLAND,1,,
2024-08-31,UNKNOWN,1,,
2024-09-30,BRONX,1,17429,7038
2024-09-30,BROOKLYN,1,54234,14487
2024-09-30,MANHATTAN,1,38694,6865
2024-09-30,QUEENS,1,44125,12380
2024-09-30,STATEN ISLAND,1,8131,2316
2024-09-30,UNKNOWN,1,402,73
2024-10-31,BRONX,1,18143,7479
2024-10-31,BROOKLYN,1,53042,13626
2024-10-31,MANHATTAN,1,38410,6873
2024-10-31,QUEENS,1,45486,12984
2024-10-31,STATEN ISLAND,1,8070,2182
2024-10-31,UNKNOWN,1,369,70
2024-11-30,BRONX,1,21479,9731
2024-11-30,BROOKLYN,1,54961,14987
2024-11-30,MANHATTAN,1,40627,7900
2024-11-30,QUEENS,1,48070,13494
2024-11-30,STATEN ISLAND,1,8059,2206
2024-11-30,UNKNOWN,1,351,69
2024-12-31,BRONX,1,25092,10254
2024-12-31,BROOKLYN,1,52998,15584
2024-12-31,MANHATTAN,1,41760,8999
2024-12-31,QUEENS,1,48090,13786
2024-12-31,STATEN ISLAND,1,7507,2053
2024-12-31,UNKNOWN,1,373,67
2025-01-31,BRONX,1,23994,11156
2025-01-31,BROOKLYN,1,47542,14995
2025-01-31,MANHATTAN,1,36543,8692
2025-01-31,QUEENS,1,45263,13173
2025-01-31,STATEN ISLAND,1,6655,1845
2025-01-31,UNKNOWN,1,249,61
2025-02-28,BRONX,1,23870,11269
2025-02-28,BROOKLYN,1,47183,15020
2025-02-28,MANHATTAN,1,38838,9446
2025-02-28,QUEENS,1,44850,12692
2025-02-28,STATEN ISLAND,1,6593,1838
2025-02-28,UNKNOWN,1,262,64
2025-03-31,BRONX,1,21128,9317
2025-03-31,BROOKLYN,1,45375,13672
2025-03-31,MANHATTAN,1,39693,10079
2025-03-31,QUEENS,1,43977,12113
2025-03-31,STATEN ISLAND,1,6528,1740
2025-03-31,UNKNOWN,1,243,61
2025-04-30,BRONX,1,20314,9366
2025-04-30,BROOKLYN,1,42608,12259
2025-04-30,MANHATTAN,1,40031,11285
2025-04-30,QUEENS,1,42203,11282
2025-04-30,STATEN ISLAND,1,6629,1756
2025-04-30,UNKNOWN,1,256,61
2025-05-31,BRONX,1,18904,9042
2025-05-31,BROOKLYN,1,37066,9984
2025-05-31,MANHATTAN,1,36540,11042
2025-05-31,QUEENS,1,40950,10734
2025-05-31,STATEN ISLAND,1,6520,1788
2025-05-31,UNKNOWN,1,302,72
2025-06-30,BRONX,1,22036,10792
2025-06-30,BROOKLYN,1,35268,10266
2025-06-30,MANHATTAN,1,35211,11486
2025-06-30,QUEENS,1,39407,10385
2025-06-30,STATEN ISLAND,1,6134,1664
2025-06-30,UNKNOWN,1,326,82
2025-07-31,BRONX,1,24875,13025
2025-07-31,BROOKLYN,1,37881,11816
2025-07-31,MANHATTAN,1,36725,12327
2025-07-31,QUEENS,1,41188,11235
2025-07-31,STATEN ISLAND,1,6622,1938
2025-07-31,UNKNOWN,1,331,88
2025-08-31,BRONX,1,16948,7381
2025-08-31,BROOKLYN,1,37912,11891
2025-08-31,MANHATTAN,1,34281,10288
2025-08-31,QUEENS,1,42769,11621
2025-08-31,STATEN ISLAND,1,7112,2169
2025-08-31,UNKNOWN,1,383,100
2025-09-30,BRONX,1,16713,7206
2025-09-30,BROOKLYN,1,37668,11108
2025-09-30,MANHATTAN,1,28348,5904
2025-09-30,QUEENS,1,42543,11332
2025-09-30,STATEN ISLAND,1,7242,2344
2025-09-30,UNKNOWN,1,413,106
2025-10-31,BRONX,1,18443,8502
2025-10-31,BROOKLYN,1,39397,12425
2025-10-31,MANHATTAN,1,31657,7102
2025-10-31,QUEENS,1,44130,11816
2025-10-31,STATEN ISLAND,1,6820,2134
2025-10-31,UNKNOWN,1,455,113
2025-11-30,BRONX,1,20374,9544
2025-11-30,BROOKLYN,1,38993,12494
2025-11-30,MANHATTAN,1,32176,7808
2025-11-30,QUEENS,1,45053,12341
2025-11-30,STATEN ISLAND,1,6745,2158
2025-11-30,UNKNOWN,1,470,118
2025-12-31,BRONX,1,21873,10256
2025-12-31,BROOKLYN,1,40115,12702
2025-12-31,MANHATTAN,1,34937,8361
2025-12-31,QUEENS,1,44972,12437
2025-12-31,STATEN ISLAND,1,6439,2193
2025-12-31,UNKNOWN,1,501,127
2026-01-31,BRONX,1,30788,13038
2026-01-31,BROOKLYN,1,54289,16527
2026-01-31,MANHATTAN,1,44609,11260
2026-01-31,QUEENS,1,53204,14869
2026-01-31,STATEN ISLAND,1,9056,2843
2026-01-31,UNKNOWN,1,548,143
2026-02-28,BRONX,1,30949,13636
2026-02-28,BROOKLYN,1,50347,17038
2026-02-28,MANHATTAN,1,44280,11982
2026-02-28,QUEENS,1,48659,14647
2026-02-28,STATEN ISLAND,1,7075,2321
2026-02-28,UNKNOWN,1,569,147
2026-03-31,BRONX,1,32754,14043
2026-03-31,BROOKLYN,1,50582,17409
2026-03-31,MANHATTAN,1,45903,11662
2026-03-31,QUEENS,1,47228,13677
2026-03-31,STATEN ISLAND,1,6779,2271
2026-03-31,UNKNOWN,1,553,136
2026-04-30,BRONX,1,30596,12988
2026-04-30,BROOKLYN,1,45996,15575
2026-04-30,MANHATTAN,1,43406,9736
2026-04-30,QUEENS,1,44754,13120
2026-04-30,STATEN ISLAND,1,6183,2091
2026-04-30,UNKNOWN,1,622,141
